X,Y,OBJECTID,Count_,Int_Number,Location,Dist
-71.061027961138123,42.329640651128123,771,600,9994,Frontage Rd SB & South Bay Mall Dr,SB
-71.059783416933513,42.350116829464682,772,676,1273,Kneeland St & Surface Rd SB,BP
-71.059440093985017,42.348705440165709,773,684,4109,"Lincoln St, South Station Connector, & Ramp K",BP
-71.087356533807352,42.335414624176927,774,722,3011,Melnea Cass Blvd & Tremont St (NB Turn),RX
-71.083193744404639,42.341536995547344,775,712,2363,Massachusetts Ave @ MBTA Station Pedestrian Crossing,BP
-71.090939966716547,42.343836695762512,776,582,9019,Fenway @ Fire Alarm HQ,BP
-71.090682474587709,42.34420146811464,777,581,407,Fenway & Westland Ave,BP
-71.092356173718144,42.346881686896786,778,216,9007,Bowker Overpass & Boylston St,BP
-71.104179354778466,42.34413802916675,780,768,9000,Park Dr & Riverway,BP
-71.08072611174255,42.349149475494798,781,228,3131,Boylston St & Ring Rd,BP
-71.082344075743833,42.34873551751074,782,230,3132,Boylston St @ Prudential Service Entrance,BP
-71.053183090444165,42.360564829231308,783,725,4117,Mercantile St & Surface Rd SB,BP
-71.045308121461133,42.347990165840635,784,822,4111,Summer St & West Side Dr,SB
-71.09023933153324,42.33547643217166,785,798,3068,Ruggles St @ MBTA Station Bus Dr,RX
-71.113240248737725,42.301861586571263,786,749,2319,New Washington St @ Forest Hills MBTA Ped Crossing,WR
-71.114978320625553,42.299719059899829,787,844,1712,Washington St @ Forest Hill MBTA Station Busway,WR
-71.112934328911749,42.300915560695366,788,669,2303,Hyde Park Ave & Forest Hills MBTA Station Busway Entrance,WR
-71.067736991248609,42.374210647936572,789,96,164,Austin St & Rutherford Ave,CH
-71.068037399189734,42.381660668922017,790,261,977,Bunker Hill St @ White Pool,CH
-71.076126944331691,42.383309064518784,791,275,3114,Cambridge St & Ramp CL,CH
-71.064926035170942,42.372371783448031,792,787,2345,Ramp TL & Rutherford Ave,CH
-71.106870092804968,42.348576963154017,793,739,8001,Mountfort St & St. Mary's St,BROOKLINE
-71.10747090740233,42.341360923629821,794,794,9021,Riverway & Short St,BP
-71.062216662768435,42.353841771829998,795,99,3076,Avenue de Lafayette & Washington St,BP
-71.059362791277451,42.351050844688601,796,114,1292,Beach St & Surface Rd SB,BP
-71.058483027205341,42.364385917985921,797,169,4120,Beverly St & North Washington St,BP
-71.058955096175481,42.364877406427894,798,170,4121,Beverly St & Valenti St,BP
-71.058204077376047,42.364385917994795,799,0,4095,"Cooper St, Cross St, North Washington St, & Ramp ST-SA",BP
-71.114552035108119,42.300967537679455,800,0,2165,South St & Washington St @ Forest Hill MBTA Busway Exit,WR
-71.114423289087568,42.301903891569964,801,0,2163,"Arborway EB Off-ramp, South St, & Washington St",WR
-71.114745152867997,42.277633547156242,802,468,1564,Cummins Hwy @ Shopping Center,WR
-71.107363710938387,42.272473505193801,803,467,955,Cummins Hwy @ #610 (near Hebron St),DO
-71.062742680026233,42.291409842313314,804,516,468,Dorchester Ave @ St. Mark's Church,DO
-71.054202525458379,42.32146600033866,805,379,2059,Columbia Rd & Pulaski I-93 SB Ramps,DO
-71.092377682172639,42.27121463249469,806,106,555,Babson St & Freemont St,DO
-71.08255726686761,42.271361997240504,807,792,971,River St @ Mattapan Heights,DO
-71.086119241574394,42.270774509021848,808,793,968,River St @ Ryan Playground,DO
-71.048353730623063,42.346356673722788,809,808,9063,South Boston Haul Rd & West Service Rd Exit,SB
-71.063030782263908,42.330685952106499,810,813,9989,Southampton St & South Bay Dr,RX
-71.06963974752459,42.33203429500383,811,814,429,Southampton St @ #112,RX
-71.137629495404681,42.238853888425851,812,848,2246,West Milton St @ #79,HP
-71.152476013754608,42.357031844950505,813,754,1133,North Beacon St @ #265,AB
-71.039007807185683,42.371744850231373,814,727,2309,Meridian St @ #65,EB
-71.02353682102499,42.380700971287816,815,156,4126,Bennington St @ Wood Island MBTA Station,EB
-71.130186055302559,42.352782191042998,816,242,1441,Brighton Ave & Linden Ave,AB
-71.132760976963866,42.355557184558499,817,282,621,"Cambridge St, Franklin St, & Harvard Ave",AB
